2017-09-25 10:43:02,652:INFO: Connecting to 10.51.108.199:5674
2017-09-25 10:43:02,678:INFO: Created channel=1
2017-09-25 10:43:12,349:INFO: Connecting to 10.51.108.199:5674
2017-09-25 10:43:12,891:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,893:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,895:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,898:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,900:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,902:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,905:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,907:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,909:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,912:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,914:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,916:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,919:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,921:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,923:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,926:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,928:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,930:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,933:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,935:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,937:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,940:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,942:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,944:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,946:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,949:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,951:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,954:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,956:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,958:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,961:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,963:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
